ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
86,Jos Manuel Abascal Gmez,M,26.0,182.0,67.0,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,25.0,185.0,81.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1673,John Akii-Bua,M,22.0,188.0,77.0,Uganda,UGA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,Gold
1732,Liudmyla Vasylivna Aksenova (Shapovalova-),F,29.0,165.0,58.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
1734,Aleksandr Timofeyevich Aksinin,M,21.0,173.0,67.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
1734,Aleksandr Timofeyevich Aksinin,M,25.0,173.0,67.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
2619,Lidiya Nikolayevna Alfeyeva,F,30.0,170.0,62.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Long Jump,Bronze
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,163.0,55.0,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Bronze
3788,Grete Andersen-Waitz,F,30.0,172.0,53.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Silver
4094,Alessandro Andrei,M,25.0,191.0,118.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,Gold
4390,Tatyana Mikhaylovna Anisimova (Poluboyarova-),F,26.0,172.0,65.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres Hurdles,Silver
4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,24.0,167.0,52.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
4391,Vera Vasilyevna Anisimova (Mikheyeva-),F,28.0,167.0,52.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
4487,Mrta Antal-Rudas,F,27.0,164.0,66.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's Javelin Throw,Silver
4517,Salvatore Antibo,M,26.0,170.0,52.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",Silver
4667,Sad Aouita,M,24.0,175.0,58.0,Morocco,MAR,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",Gold
4667,Sad Aouita,M,28.0,175.0,58.0,Morocco,MAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,Bronze
4951,Daphne Arden (-Slater),F,22.0,167.0,,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
5106,Vasyl Albertovych Arkhypenko,M,23.0,178.0,65.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 400 metres Hurdles,Silver
5149,"Raymond Richard ""Ray"" Armstead",M,24.0,187.0,76.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
5446,Yevhen Oleksandrovych Arzhanov,M,24.0,179.0,68.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 800 metres,Silver
5482,Charles Asati,M,22.0,178.0,68.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
5482,Charles Asati,M,26.0,178.0,68.0,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
5547,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Gold
5547,Evelyn Ashford (-Washington),F,27.0,165.0,52.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5547,Evelyn Ashford (-Washington),F,31.0,165.0,52.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,Silver
5547,Evelyn Ashford (-Washington),F,31.0,165.0,52.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5578,"Gerald Howard ""Gerry"" Ashworth",M,22.0,180.0,75.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
5930,Ingrid Auerswald-Lange (Brestrich-),F,22.0,168.0,58.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,Bronze
5930,Ingrid Auerswald-Lange (Brestrich-),F,22.0,168.0,58.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5930,Ingrid Auerswald-Lange (Brestrich-),F,31.0,168.0,58.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
5991,Rein Aun,M,24.0,189.0,88.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's Decathlon,Silver
6076,Hennadiy Valentynovych Avdieienko,M,24.0,202.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's High Jump,Gold
6123,Mykola Viktorovych Avilov,M,24.0,191.0,89.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Decathlon,Gold
6123,Mykola Viktorovych Avilov,M,27.0,191.0,89.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Decathlon,Bronze
6448,Alonzo Carl Babers,M,22.0,188.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,Gold
6448,Alonzo Carl Babers,M,22.0,188.0,70.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
6662,Andrzej Stanisaw Badeski,M,21.0,173.0,68.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,Bronze
6876,Laimut Baikauskait,F,32.0,162.0,58.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",Silver
6878,Margaret Ann Bailes (Johnson-),F,17.0,170.0,65.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
6881,Angela Bailey,F,22.0,157.0,56.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
7143,Iolanda Bala (-Ster),F,27.0,185.0,72.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's High Jump,Gold
7430,Clicien Alexandre Roger Bambuck,M,22.0,180.0,75.0,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
7605,Kirk Renaud Baptiste,M,22.0,184.0,79.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,Silver
7968,"Eric Randolph ""Randy"" Barnes",M,22.0,195.0,132.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,Silver
8058,Pascal Barr,M,21.0,174.0,66.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
8059,Patrick Barr,M,21.0,172.0,63.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
8385,Aleksandr Georgiyevich Baryshnikov,M,27.0,198.0,130.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Shot Put,Bronze
